"id","name","description"
"intrastat_02071410","02071410","Kokoši, domače, kosi brez kosti, zamrznjeni"
"intrastat_02071420","02071420","Kokoši, domače, kosi s kostmi, polovice ali četrtine, zamrznjeni"
"intrastat_02071430","02071430","Kokoši, domače, kosi s kostmi, cela krila z ali brez vršičkov, zmrznjeni"
"intrastat_02071440","02071440","Kokoši, domače, kosi s kostmi, hrbtišča, vratovi, hrbtišča z vratovi, škofije in vršički kril, zamrznjeni"
"intrastat_02071450","02071450","Kokoši, domače, kosi s kostmi, prsa in kosi prs, zamrznjeni"
"intrastat_02071460","02071460","Kokoši, domače, kosi s kostmi, noge in kosi nog, zamrznjeni"
"intrastat_02071470","02071470","Kokoši, domače, kosi s kostmi, drugo, zamrznjeni"
"intrastat_02071491","02071491","Kokoši, domače, drobovje, jetra, zamrznjena"
"intrastat_02071499","02071499","Kokoši, domače, drobovje, drugo, zamrznjeno"
"intrastat_020724","020724","Purani, nerazrezani na kose, sveži ali ohlajeni"
"intrastat_02072410","02072410","Purani, nerazrezani na kose, oskubljeni in očiščeni, brez glav in nog, vendar z vratovi, srčki, jetri in želodčki (80% purani), sveži ali ohlajeni"
"intrastat_02072490","02072490","Purani, nerazrezani na kose, oskubljeni in očiščeni, brez glav, nog ter vratov, srčkov, jeter in želodčkov, znani kot (73% purani) ali pod drugim nazivom, sveži ali ohlajeni"
"intrastat_020725","020725","Purani, nerazrezani na kose, zamrznjeni"
"intrastat_02072510","02072510","Purani, nerazrezani na kose, oskubljeni in očiščeni, brez glav in nog, vendar z vratovi, srčki, jetri in želodčki, znani kot (80% purani), zamrznjeni"
"intrastat_02072590","02072590","Purani, nerazrezani na kose, oskubljeni in očiščeni, brez glav, nog ter vratov, srčkov, jeter in želodčkov, znani kot (73% purani) ali pod drugim nazivom, zamrznjeni"
"intrastat_020726","020726","Purani, kosi in drobovje, sveži ali ohlajeni"
"intrastat_02072610","02072610","Purani, kosi, brez kosti, sveži ali ohlajeni"
"intrastat_02072620","02072620","Purani, kosi, s kostmi, polovice ali četrtine, sveži ali ohlajeni"
"intrastat_02072630","02072630","Purani, kosi, s kostmi, cela krila z ali brez vršičkov, sveži ali ohlajeni"
"intrastat_02072640","02072640","Purani, kosi, s kostmi, hrbitšča, vratovi, hrbtišča z vratovi, škofije in vršički kril, sveži ali ohlajeni"
"intrastat_02072650","02072650","Purani, kosi, s kostmi, prsa in kosi prs, sveži ali ohlajeni"
"intrastat_02072660","02072660","Purani, kosi, s kostmi, noge in kosi nog, bedra in kosi beder, sveži ali ohlajeni"
"intrastat_02072670","02072670","Purani, kosi, s kostmi, noge in kosi nog, drugo, sveži ali ohlajeni"
"intrastat_02072680","02072680","Purani, kosi, s kostmi, drugo, sveži ali ohlajeni"
"intrastat_02072691","02072691","Purani, drobovje, jetra, sveža ali ohlajena"
"intrastat_02072699","02072699","Purani, drobovje, drugo, sveže ali ohlajeno"
"intrastat_020727","020727","Purani, kosi in drobovje, zamrznjeni"
"intrastat_02072710","02072710","Purani, kosi, brez kosti, zamrznjeni"
"intrastat_02072720","02072720","Purani, kosi, s kostmi, polovice ali četrtine, zamrznjeni"
"intrastat_02072730","02072730","Purani, kosi, s kostmi, cela krila z ali brez vršičkov, zamrznjeni"
"intrastat_02072740","02072740","Purani, kosi, s kostmi, hrbtišča, vratovi, hrbtišča z vratovi, škofije in vršički kril, zamrznjeni"
"intrastat_02072750","02072750","Purani, kosi, s kostmi, prsa in kosi prs, zamrznjeni"
"intrastat_02072760","02072760","Purani, kosi, s kostmi, noge in kosi nog, bedra in kosi beder, zamrznjeni"
"intrastat_02072770","02072770","Purani, kosi, s kostmi, noge in kosi nog, drugo, zamrznjeni"
"intrastat_02072780","02072780","Purani, kosi, s kostmi, drugi, zamrznjeni"
"intrastat_02072791","02072791","Purani, drobovje, jetra, zamrznjena"
"intrastat_02072799","02072799","Purani, drobovje, drugo, zamrznjeno"
"intrastat_020741","020741","Race, nerazrezane na kose, sveže ali ohlajene"
"intrastat_02074120","02074120","Race, nerazrezane na kose, oskubljene, izkrvavljene, očiščene drobovja, z glavami in nogami, znane pod nazivom (85% race), sveže ali ohlajene"
"intrastat_02074130","02074130","Race, nerazrezane na kose, oskubljene in očiščene, brez glav in nog, vendar z vratovi, srčki, jetri in želodčki, znane kot (70% race), sveže ali ohlajene"
"intrastat_02074180","02074180","Race, nerazrezane na kose, oskubljene in očiščene, brez glav, nog ter brez vratov, srčkov, jeter in želodčkov, znane kot (63% race) ali pod drugim nazivom, sveže ali ohlajene"
"intrastat_020742","020742","Race, nerazrezane na kose, zamrznjene"
"intrastat_02074230","02074230","Race, nerazrezane na kose, oskubljene in očiščene, brez glav in nog,vendar z vratovi, srčki, jetri in želodčki, znane kot (70% race), zamrznjene"
"intrastat_02074280","02074280","Race, nerazrezani na kose, oskubljene in očiščene, brez glav, nog ter brez vratov, srčkov, jeter in želodčkov, znane kot (63% race) ali pod drugim nazivom, zamrznjene"
"intrastat_02074300","02074300","Račja, mastna jetra, sveža ali ohlajena"
"intrastat_020744","020744","Race, drugo, sveže ali ohlajeno"
"intrastat_02074410","02074410","Race, drugo, kosi, brez kosti, sveži ali ohlajeni"
"intrastat_02074421","02074421","Race, drugo, kosi, s kostmi, polovice ali četrti, sveži ali ohlajeni"
"intrastat_02074431","02074431","Race, drugo, kosi, s kostmi, cela krila, z ali brez vršičkov, sveži ali ohlajeni"
"intrastat_02074441","02074441","Race, drugo, kosi, s kostmi, hrbtišča, vratovi, hrbtišča z vratovi, škofije in vršički kril, sveži ali ohlajeni"
"intrastat_02074451","02074451","Race, drugo, kosi, s kostmi, prsa in kosi prs, sveži ali ohlajeni"
"intrastat_02074461","02074461","Race, drugo, kosi, s kostmi, noge in kosi nog, sveži ali ohlajeni"
"intrastat_02074471","02074471","Race, drugo, kosi, s kostmi, račji paletoji, sveži ali ohlajeni"
"intrastat_02074481","02074481","Race, drugo, kosi, s kostmi, drugo, sveži ali ohlajeni"
"intrastat_02074491","02074491","Race, drugo, jetra (razen mastnih jeter), sveža ali ohlajena"
"intrastat_02074499","02074499","Race, drugo, klavnični proizvodi, drugi (razen nemastnih jeter), sveži ali ohlajeni"
"intrastat_020745","020745","Race, drugo, zamrznjeno"
"intrastat_02074510","02074510","Race, drugo, kosi, brez kosti, zamrznjeni"
"intrastat_02074521","02074521","Race, drugo, kosi, s kostmi, polovice ali četrti, zamrznjeni"
"intrastat_02074531","02074531","Race, drugo, kosi, s kostmi, cela krila, z ali brez vršičkov, zamrznjena"
"intrastat_02074541","02074541","Race, drugo, kosi, s kostmi, hrbtišča, vratovi, hrbtišča z vratovi, škofije in vršički kril, zamrznjeni"
"intrastat_02074551","02074551","Race, drugo, kosi, s kostmi, prsa in kosi prs, zamrznjeni"
"intrastat_02074561","02074561","Race, drugo, kosi, s kostmi, noge in kosi nog, zamrznjeni"
"intrastat_02074571","02074571","Race, drugo, kosi, s kostmi, račji paletoji, zamrznjeni"
"intrastat_02074581","02074581","Race, drugo, kosi, s kostmi, drugo, zamrznjeno"
"intrastat_02074593","02074593","Race, drugo, jetra, mastna jetra, zamrznjena"
"intrastat_02074595","02074595","Race, drugo, jetra, druga (razen mastnih), zamrznjena"
"intrastat_02074599","02074599","Race, drugo, klavnični proizvodi, drugu (razen jeter), zamrznjeni"
"intrastat_020751","020751","Gosi, nerazrezane na kose, sveže ali ohlajene"
"intrastat_02075110","02075110","Gosi, nerazrezane na kose, oskubljene, izkrvavljene, očiščene drobovja, z glavami in nogami, znane pod nazivom (85% race), sveže ali ohlajene"
"intrastat_02075190","02075190","Gosi, nerazrezane na kose, oskubljene in očiščene, brez glav in nog, vendar z vratovi, srčki, jetri in želodčki, znane kot (70% race), sveže ali ohlajene"
"intrastat_020752","020752","Gosi, nerazrezane na kose, zamrznjene"
"intrastat_02075210","02075210","Gosi, nerazrezane na kose, oskubljene in očiščene, brez glav in nog,vendar z vratovi, srčki, jetri in želodčki, znane kot (70% race), zamrznjene"
"intrastat_02075290","02075290","Gosi, nerazrezani na kose, oskubljene in očiščene, brez glav, nog ter brez vratov, srčkov, jeter in želodčkov, znane kot (63% race) ali pod drugim nazivom, zamrznjene"
"intrastat_02075300","02075300","Gosi, mastna jetra, sveža ali ohlajena"
"intrastat_020754","020754","Gosi, drugo, sveže ali ohlajeno"
"intrastat_02075410","02075410","Gosi, drugo, kosi, brez kosti, sveži ali ohlajeni"
"intrastat_02075421","02075421","Gosi, drugo, kosi, s kostmi, polovice ali četrti, sveži ali ohlajeni"
